Company,Shortname,Link
Minda Corp,MC22,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/mindacorporation/MC23
Banco Products,BPI,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/bancoproductsindia/BPI
Lumax Auto Tech,LAT,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/lumaxautotechnologies/LAT01
Alicon Castallo,PC02,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aliconcastalloy/EC06
Munjal Showa,MS,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/munjalshowa/MS
Munjal Auto Ind,GC10,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/munjalautoindustries/MAI04
PPAP Automotive,PPP03,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ppapautomotive/PPP03
Commercial Eng,CEB,https://www.moneycontrol.com/india/stockpricequote/engineering/commercialengineersbodybuildersco/CEB
Remsons Ind,RI10,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/remsonsindustries/RI10
Federal-Mogul,GI09,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/federalmogulgoetze/FMG
Jay BharatMarut,JBM,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jaybharatmaruti/JBM
Autoline Ind,AI59,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/autolineindustries/AI59
Omax Autos,OA,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/omaxautos/OA
Gabriel India,GI02,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/gabrielindia/GI02
JBM Auto,JBM03,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jbmauto/JBM03
Rico Auto,RA04,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ricoauto/RA04
Precision Camsh,PC24,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/precisioncamshafts/PC16
UCAL Fuel,UFS,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ucalfuelsystems/UFS
Talbros Auto,TAC,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/talbrosautomotivecomponents/TAC
Sharda Motor,SMI04,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/shardamotorindustries/SMI04
Auto Stampings,JBM01,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/automotivestampingsassemblies/ASA01
Castex Tech,AI49,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/castextechnologies/AI49
Jamna Auto,JAI,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jamnaautoindustries/JAI
MRF,MRF,https://www.moneycontrol.com/india/stockpricequote/tyres/mrf/MRF
Balkrishna Ind,BI03,https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03
Apollo Tyres,AT,https://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14
Ceat,C07,https://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07
JK Tyre & Ind,JKI,https://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01
Goodyear,GI11,https://www.moneycontrol.com/india/stockpricequote/tyres/goodyearindia/GI11
TVS Srichakra,TVS03,https://www.moneycontrol.com/india/stockpricequote/tyres/tvssrichakra/TVS03
Modi Rubber,MR01,https://www.moneycontrol.com/india/stockpricequote/tyres/modirubber/MR01
GRP,GRR,https://www.moneycontrol.com/india/stockpricequote/rubber/grp/GRR
Somi Conveyor,SCB,https://www.moneycontrol.com/india/stockpricequote/rubber/somiconveyorbeltings/SCB
Steel Str Wheel,SSW01,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/steelstripswheels/SSW02
Wheels,WI11,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/wheelsindia/WI11
Bajaj Auto,BA06,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/bajajauto/BA10
Hero Motocorp,HHM,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/heromotocorp/HHM
TVS Motor,TVS,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/tvsmotorcompany/TVS
Atul Auto,AA08,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/atulauto/AA08
M&M,MM,https://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/mahindramahindra/MM
Tata Motors,TEL,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/tatamotors/TM03
Eicher Motors,EM,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/eichermotors/EM
TML-D,TMD,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/tatamotorsltddvr/TATAM57000
Maruti Suzuki,MU01,https://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/marutisuzukiindia/MS24
Hind Motors,HM,https://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/hindustanmotors/HM
Escorts,E,https://www.moneycontrol.com/india/stockpricequote/autotractors/escorts/E
HMT,HMT,https://www.moneycontrol.com/india/stockpricequote/autotractors/hmt/HMT
VST Tillers,VST01,https://www.moneycontrol.com/india/stockpricequote/autotractors/vsttillerstractors/VST01
Ashok Leyland,AL,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/ashokleyland/AL
Force Motors,BT,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/forcemotors/FM01
SML Isuzu,SM,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/smlisuzu/SM
HDFC Bank,HDF01,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/hdfcbank/HDF01
ICICI Bank,ICI02,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02
Kotak Mahindra,KMF,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/kotakmahindrabank/KMB
Axis Bank,UTI10,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16
IndusInd Bank,IIB,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/indusindbank/IIB
Bandhan Bank,BB09,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/bandhanbank/BB09
IDBI Bank,IDB,https://www.moneycontrol.com/india/stockpricequote/idbibank/idbibank/IDB05
Yes Bank,YB,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/yesbank/YB
AU Small Financ,ASF03,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/ausmallfinancebank/ASF02
IDFC First Bank,IDF01,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/idfcfirstbank/IDF01
Federal Bank,FB,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/federalbank/FB
City Union Bank,CUB,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/cityunionbank/CUB
RBL Bank,RB02,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/rblbank/RB03
Equitas Bank,ESF,https://www.moneycontrol.com/india/stockpricequote/bankprivate/equitassmallfinancebank/ESF
Ujjivan Small,USF,https://www.moneycontrol.com/india/stockpricequote/bankprivate/ujjivansmallfinancebank/USF
CSB Bank,CB08,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/csbbank/CB05
Karur Vysya,KVB,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karurvysyabank/KVB
DCB Bank,DCB01,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/dcbbank/DCB01
Suryoday Small,SSF08,https://www.moneycontrol.com/india/stockpricequote/bankprivate/suryodaysmallfinancebank/SSF08
Karnataka Bank,KB04,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karnatakabank/KB04
JK Bank,JKB,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/jammukashmirbank/JKB
South Ind Bk,SIB,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/southindianbank/SIB
Dhanlaxmi Bank,DB01,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/dhanlaxmibank/DB01
SBI,SBI,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/statebankindia/SBI
PNB,PNB05,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/punjabnationalbank/PNB05
Bank of Baroda,BOB,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofbaroda/BOB
IOB,IOB,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/indianoverseasbank/IOB
Canara Bank,CB06,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/canarabank/CB06
Bank of India,BOI,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofindia/BOI
Union Bank,UBI01,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/unionbankindia/UBI01
Bank of Mah,BM05,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankmaharashtra/BM05
Indian Bank,IB04,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/indianbank/IB04
UCO Bank,UCO,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/ucobank/UCO
Central Bank,CBO01,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/centralbankindia/CBO01
Punjab & Sind,PSB,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/punjabsindbank/PSB
Exide Ind,EI,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI
Amara Raja Batt,ARB,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/amararajabatteries/ARB
Eveready Ind,EII02,https://www.moneycontrol.com/india/stockpricequote/drycells/evereadyindustriesindia/EII02
HBL Power,SNP,https://www.moneycontrol.com/india/stockpricequote/electricequipment/hblpowersystems/HBL02
